City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,strezhevoy,60.7333,77.5889,-4.75,94,100,7.22,RU,1731193717
259,port saint john's,-31.6229,29.5448,18.76,87,100,2.95,ZA,1731193301
260,an nimas,19.1455,42.1201,13.32,39,2,3.21,SA,1731193790
261,fort mcmurray,56.7268,-111.381,7.77,42,100,3.09,CA,1731193252
262,khedbrahma,24.0333,73.05,22.53,40,0,1.55,IN,1731193793
263,achinsk,56.2694,90.4993,-4.37,61,81,5.77,RU,1731193524
264,san andres,12.5847,-81.7006,29.01,79,40,2.57,CO,1731193353
265,nova sintra,14.8667,-24.7167,26.5,76,64,5.63,CV,1731193796
266,hadibu,12.65,54.0333,25.54,81,81,4.08,YE,1731193797
267,dudinka,69.4058,86.1778,-17.47,91,64,4.33,RU,1731193799
268,pierre,44.3683,-100.351,8.51,100,100,2.57,US,1731193800
269,rio grande,-32.035,-52.0986,17.11,73,0,4.52,BR,1731193762
270,puerto del carmen,28.9231,-13.6658,24.73,41,0,1.54,ES,1731193802
271,kikwit,-5.041,18.8162,20.67,98,99,0.88,CD,1731193803
272,aykol,38.1751,77.2132,9.61,47,20,2.27,CN,1731193804
273,jingdezhen,29.2947,117.2079,16.85,94,100,1.17,CN,1731193806
274,grand gaube,-20.0064,57.6608,24.65,88,4,0.89,MU,1731193807
275,enewetak,11.3474,162.3373,28.47,79,20,6.32,MH,1731193808
276,huarmey,-10.0681,-78.1522,19.85,81,62,4.02,PE,1731193809
277,arraial do cabo,-22.9661,-42.0278,22.83,83,100,6.58,BR,1731193667
278,woodford green,51.6094,0.0233,8.13,76,100,3.09,GB,1731193562
279,brisas de zicatela,15.8369,-97.0419,29.29,84,0,1.03,MX,1731193814
280,battagram,34.6772,73.0233,15.08,53,14,1.81,PK,1731193815
281,fauske,67.2588,15.3918,2.75,70,52,2.32,NO,1731193816
282,'ain benian,36.8028,2.9219,17.03,77,93,5.72,DZ,1731193817
283,kone,-21.0595,164.8658,30.61,37,0,2.8,NC,1731193257
284,egersund,58.4513,5.9997,8.23,78,98,7.16,NO,1731193646
285,cam ranh,11.9214,109.1591,23.98,83,20,2.57,VN,1731193821
286,khandyga,62.6667,135.6,-17.21,99,99,0.73,RU,1731193822
287,barcelos,41.5388,-8.6151,13.13,90,75,1.12,PT,1731193824
288,wau,7.7029,27.9953,26.75,54,67,0.2,SS,1731193825
289,ixtapa,20.7,-105.2,28.57,70,100,3.6,MX,1731193826
290,new norfolk,-42.7826,147.0587,14.28,42,63,3.02,AU,1731193665
291,lake city,30.1897,-82.6393,23.16,83,100,2.57,US,1731193617
292,labasa,-16.4167,179.3833,28.81,66,100,3.65,FJ,1731193830
293,turpan,42.9333,89.1667,8.33,57,35,1.48,CN,1731193832
294,margate,51.3813,1.3862,8.16,86,87,3.49,GB,1731193584
295,cabo san lucas,22.8909,-109.9124,28.17,55,0,6.17,MX,1731193802
296,zwevezele,51.0361,3.2107,8.77,97,100,1.79,BE,1731193835
297,egilsstadir,65.2653,-14.3948,11.95,66,75,9.26,IS,1731193295
298,mirny,62.5353,113.9611,-9.11,90,100,4.5,RU,1731193837
299,chandbali,20.7833,86.7667,21.48,79,0,3.23,IN,1731193839
300,saint croix,17.7397,-64.7388,27.25,90,75,4.63,VI,1731193841
301,puerto aysen,-45.4,-72.7,6.96,99,100,1.98,CL,1731193843
302,chibougamau,49.9168,-74.3659,-1.21,74,100,6.17,CA,1731193844
303,misratah,32.3754,15.0925,20.96,63,21,2.15,LY,1731193845
304,kolpashevo,58.3131,82.9089,-5.83,80,95,8.67,RU,1731193292
305,grass valley,39.2191,-121.0611,17.21,40,0,2.06,US,1731193660
306,muroran,42.3172,140.9881,8.5,69,12,0.17,JP,1731193849
307,pinarbasi,38.7229,36.3931,3.73,44,87,2.67,TR,1731193850
308,vryburg,-26.9566,24.7284,17.59,86,100,0.61,ZA,1731193851
309,gadzhiyevo,69.2551,33.3362,2.47,82,99,9.36,RU,1731193852
310,kolonia town,6.964,158.206,32.0,66,40,4.12,FM,1731193854
311,khovd,48.0056,91.6419,-3.59,59,28,3.04,MN,1731193855
